id,featureEntityId,conditionType,conditionValue
342,3675,1,16
345,3681,5,4
354,3981,1,3
357,4005,7,0
360,4008,7,0
420,4707,6,11
423,4707,6,33
426,4710,5,6
429,4716,5,6
432,4884,7,1
435,4890,1,17
437,5879,5,4
461,5933,6,7
476,6512,6,6
479,6611,7,1
482,6611,3,0
488,7004,8,0
491,7010,8,1
494,7028,9,0
497,11372,6,16
500,11372,6,11
503,11375,0,1
506,11375,0,0
509,11378,0,1
512,11378,0,0
515,11381,6,7
518,11384,7,3
521,11387,7,2
524,11390,0,1
545,11591,5,4
548,11612,7,0
551,11615,7,0
554,14159,8,0
557,14165,8,1
