id,progressionId,appliesTo,appliesToId,appliesToSubId,formulaParamsId,groupingId,type,value,bonusType,displayInDetail,filterType
32,11649,21,234,,,0,3,0,,true,
35,11652,21,186,,,0,3,0,,true,
38,11655,21,150,,,0,3,0,,true,
41,11658,21,306,,,0,3,0,,true,
44,11661,21,165,,,0,3,0,,true,
47,11664,21,114,,,0,3,0,,true,
3396,17730,1,4,,,1,3,0,,true,
3399,17730,1,14,,,1,3,0,,true,
3402,17730,1,17,,,1,3,0,,true,
3405,17730,1,18,,,1,3,0,,true,
3408,17730,1,34,,,1,3,0,,true,
3411,17730,1,42,,,1,3,0,,true,
3414,17730,1,6,-1,,1,3,0,,true,
3417,17733,36,4,-1,,1,3,0,,true,
3420,17733,36,5,-1,,1,3,0,,true,
3423,17733,36,6,-1,,1,3,0,,true,
3426,17733,36,7,-1,,1,3,0,,true,
3429,17733,36,1,-1,,1,3,0,,true,
3432,17733,36,2,-1,,1,3,0,,true,
3654,17880,3,,,1770,0,0,0,,true,
3657,17886,21,141,,,1,5,1,,true,
3660,17886,21,288,,,1,5,1,,true,
3663,17892,19,,,1773,0,1,10,,true,
3666,17901,8,,,1776,0,4,10,,true,
3669,17904,4,,,1779,0,0,0,,true,
3672,17904,17,,,1782,0,1,0,,true,
3675,17907,24,,,1785,0,3,0,,true,
3678,17919,12,,,1788,0,1,10,,true,
3681,17922,2,-1,2,,0,0,,,true,
3684,17928,20,,,1791,0,2,0,,true,
3687,17928,20,,,1794,0,2,0,,false,
3690,17928,20,,,1797,0,2,0,,false,
3693,17931,18,,,1800,0,1,2,,true,
3696,17934,3,,,1803,0,0,1,,true,
3699,17937,21,39,,,1,5,1,,true,
3702,17937,21,60,,,1,5,1,,true,
3705,17940,21,135,,,1,5,1,,true,
3708,17940,21,159,,,1,5,1,,true,
3711,17943,1,2,,,1,3,0,,true,
3714,17943,1,4,,,1,3,0,,true,
3717,17943,1,5,,,1,3,0,,true,
3720,17943,1,8,,,1,3,0,,true,
3723,17943,1,11,,,1,3,0,,true,
3726,17943,1,16,,,1,3,0,,true,
3729,17943,1,18,,,1,3,0,,true,
3732,17943,1,29,,,1,3,0,,true,
3735,17943,1,30,,,1,3,0,,true,
3738,17943,1,32,,,1,3,0,,true,
3741,17943,1,33,,,1,3,0,,true,
3744,17943,1,36,,,1,3,0,,true,
3747,17943,1,40,,,1,3,0,,true,
3750,17943,1,42,,,1,3,0,,true,
3753,17943,1,43,,,1,3,0,,true,
3756,17943,1,6,-1,,1,3,0,,true,
3759,17943,1,19,1,,1,3,0,,true,
3762,17943,1,19,9,,1,3,0,,true,
3765,17946,36,1,24,,1,3,0,,true,
3768,17946,36,1,51,,1,3,0,,true,
3771,17946,36,1,45,,1,3,0,,true,
3774,17946,36,1,9,,1,3,0,,true,
3777,17946,36,1,60,,1,3,0,,true,
3780,17946,36,2,75,,1,3,0,,true,
3783,17946,36,3,177,,1,3,0,,true,
3786,17946,36,3,180,,1,3,0,,true,
3789,17946,36,1,39,,1,3,0,,true,
3792,17946,36,3,183,,1,3,0,,true,
3795,17946,36,3,237,,1,3,0,,true,
3798,17946,36,3,186,,1,3,0,,true,
3801,17946,36,1,63,,1,3,0,,true,
3981,18048,5,1,,1836,0,1,1,,true,
3984,18051,21,,,1839,1,5,1,,true,
3987,18051,25,1425,,1842,1,5,1,,true,
3990,18051,25,1428,,1845,1,5,1,,true,
3993,18051,25,1431,,1848,1,5,1,,true,
3996,18051,25,1434,,1851,1,5,1,,true,
3999,18051,25,1437,,1854,1,5,1,,true,
4002,18051,25,1440,,1857,1,5,1,,true,
4005,18057,2,3,1,1860,1,0,0,,true,
4008,18057,3,,,1863,1,0,1,,true,
4011,18063,1,1,,,1,3,0,,true,
4014,18063,1,2,,,1,3,0,,true,
4017,18063,1,3,,,1,3,0,,true,
4020,18063,1,4,,,1,3,0,,true,
4023,18063,1,7,,,1,3,0,,true,
4026,18063,1,8,,,1,3,0,,true,
4029,18063,1,9,,,1,3,0,,true,
4032,18063,1,10,,,1,3,0,,true,
4035,18063,1,11,,,1,3,0,,true,
4038,18063,1,12,,,1,3,0,,true,
4041,18063,1,13,,,1,3,0,,true,
4044,18063,1,16,,,1,3,0,,true,
4047,18063,1,17,,,1,3,0,,true,
4050,18063,1,18,,,1,3,0,,true,
4053,18063,1,29,,,1,3,0,,true,
4056,18063,1,30,,,1,3,0,,true,
4059,18063,1,31,,,1,3,0,,true,
4062,18063,1,32,,,1,3,0,,true,
4065,18063,1,33,,,1,3,0,,true,
4068,18063,1,35,,,1,3,0,,true,
4071,18063,1,36,,,1,3,0,,true,
4074,18063,1,37,,,1,3,0,,true,
4077,18063,1,40,,,1,3,0,,true,
4080,18063,1,42,,,1,3,0,,true,
4083,18063,1,43,,,1,3,0,,true,
4086,18063,1,44,,,1,3,0,,true,
4089,18063,1,45,,,1,3,0,,true,
4092,18063,1,6,-1,,1,3,0,,true,
4095,18063,1,19,6,,1,3,0,,true,
4098,18066,36,1,-1,,1,3,0,,true,
4101,18066,36,3,219,,1,3,0,,true,
4104,18066,36,2,111,,1,3,0,,true,
4107,18066,36,2,171,,1,3,0,,true,
4110,18066,36,2,96,,1,3,0,,true,
4113,18066,36,4,-1,,1,3,0,,true,
4671,18435,0,2,,,1,0,2,,true,
4674,18435,0,3,,,1,0,-2,,true,
4677,18438,15,5,,,1,3,0,,true,
4680,18438,15,9,,,1,3,0,,true,
4683,18441,14,6,,,1,3,0,,true,
4686,18441,14,13,,,1,3,0,,true,
4689,18441,14,11,,,1,3,0,,true,
4692,18441,14,12,,,1,3,0,,true,
4695,18441,14,17,,,1,3,0,,true,
4698,18441,14,18,,,1,3,0,,true,
4704,18447,1,6,1,,0,0,2,,true,
4707,18450,4,,,,0,0,1,12,true,
4710,18453,26,,,,0,0,1,12,true,
4713,18456,1,29,,,0,0,2,,true,
4716,18459,2,-1,2,,0,0,,12,true,
4719,18462,16,207,,,0,3,0,,true,
4722,18468,0,1,,,1,0,-2,,true,
4725,18468,0,3,,,1,0,2,,true,
4728,18471,15,5,,,1,3,0,,true,
4731,18471,15,11,,,1,3,0,,true,
4734,18474,14,6,,,1,3,0,,true,
4737,18474,14,8,,,1,3,0,,true,
4740,18474,14,9,,,1,3,0,,true,
4743,18474,14,10,,,1,3,0,,true,
4746,18474,14,12,,,1,3,0,,true,
4749,18474,14,17,,,1,3,0,,true,
4752,18477,10,1,,,1,1,1,,true,
4755,18477,27,2146,,,1,3,0,,true,
4758,18480,27,560,,,1,3,0,,true,
4761,18480,27,1039,,,1,3,0,,true,
4764,18480,27,1747,,,1,3,0,,true,
4767,18480,10,1,,,1,1,1,,true,
4770,18486,1,29,,,1,0,1,12,true,
4773,18486,1,35,,,1,0,1,12,true,
4776,18486,1,40,,,0,0,1,12,true,
4779,18489,1,8,,,1,0,2,12,true,
4782,18489,1,13,,,1,0,2,12,true,
4785,18495,15,5,,,1,3,0,,true,
4788,18495,15,9,,,1,3,0,,true,
4791,18498,14,1,,,1,3,0,,true,
4794,18498,14,2,,,1,3,0,,true,
4797,18498,14,3,,,1,3,0,,true,
4800,18498,14,4,,,1,3,0,,true,
4803,18498,14,6,,,1,3,0,,true,
4806,18498,14,8,,,1,3,0,,true,
4809,18498,14,10,,,1,3,0,,true,
4812,18498,14,11,,,1,3,0,,true,
