id,formulaId,interval,formulaStartLevel,abilityId,thresholds,values,includeProgressionLevel,valuesRepresent,cumulative,divisor,baseValue
1770,7,1,,5,,,true,,false,,
1773,10,1,,,,,true,,false,,
1776,2,3,,,,,true,,false,,
1779,3,1,,,"1,5,9","-2,-1,0",true,,false,,
1782,3,1,,,"1,11","1,2",true,,false,,
1785,3,,,,"4,10,16","12,13,18",true,1,true,,
1788,2,2,4,,,,true,,false,,
1791,3,1,,,"1,4,8,12,16,20","1d6,1d8,1d10,2d6,2d8,2d10",true,,false,,
1794,3,1,,,"1,4,8,12,16,20","1d4,1d6,1d8,1d10,2d6,2d8",true,,false,,
1797,3,1,,,"1,4,8,12,16,20","1d8,2d6,2d8,3d6,3d8,4d8",true,,false,,
1800,9,1,,,,,true,,false,,
1803,2,5,,,,,true,,false,,
1836,2,2,,,,,true,,false,,
1839,2,3,,,,,true,,false,,
1842,2,3,,,,,true,,false,,
1845,2,3,,,,,true,,false,,
1848,2,3,,,,,true,,false,,
1851,2,3,,,,,true,,false,,
1854,2,3,,,,,true,,false,,
1857,2,3,,,,,true,,false,,
1860,2,3,,,,,true,,false,,
1863,2,3,,,,,true,,false,,
1878,6,,,6,,,true,,false,,
1893,11,,,4,,,true,,false,,
1913,12,1,2,,,,false,,false,,
1916,2,2,2,,,,true,,false,,
1970,6,1,,6,,,true,,false,,
1973,3,1,,,"5,6,7,10,14,18","1,2,3,4,5,6",true,,false,,
1976,3,,,,"8,11,15","6,3,7",true,1,true,,
1979,3,,,,12,30,true,1,false,,
1982,11,1,,6,,,true,,false,,
1985,2,2,,,,,true,,false,,
1988,3,,,,20,7,true,1,false,,
1991,7,1,,6,,,true,,false,,
1994,8,1,,6,,,true,,false,,
1997,2,3,,,,,true,,false,,
2000,2,5,5,,,,true,,false,,
2003,7,1,,6,,,true,,false,,
2006,1,1,,,,,true,,false,,
2009,6,1,,6,,,true,,false,,
2012,2,5,5,,,,true,,false,,
2015,2,5,5,,,,false,,false,,
2018,11,1,,6,,,true,,false,,
2030,12,1,2,,,,true,,false,,
2033,2,5,5,,,,true,,false,,
2039,12,1,2,,,,true,,false,,
2045,2,3,3,,,,true,,false,,
2048,2,4,,,,,true,,false,,
2078,9,,,,,,true,,false,,
2087,9,,,,,,true,,false,,
2090,9,,,,,,true,,false,,
2093,9,,,,,,true,,false,,
2096,1,,,,,,true,,false,,
2099,9,,,,,,true,,false,,
2102,1,,,,,,true,,false,,
2105,9,,,,,,true,,false,,
2108,9,,,,,,true,,false,,
2141,14,,,,,,true,,false,3,
2144,14,,,,,,true,,false,3,
2147,14,,,,,,true,,false,3,
2168,15,,,,,,true,,false,2,2
2171,14,,,,,,true,,false,3,
2174,15,,,,,,true,,false,2,2
2177,15,,,,,,true,,false,2,2
2180,14,,,,,,true,,false,3,
2183,15,,,,,,true,,false,2,2
2186,15,,,,,,true,,false,2,2
2189,14,,,,,,true,,false,3,
2192,15,,,,,,true,,false,2,2
2195,15,,,,,,true,,false,2,2
2198,14,,,,,,true,,false,3,
2201,14,,,,,,true,,false,3,
2204,15,,,,,,true,,false,2,2
2207,15,,,,,,true,,false,2,2
2210,15,,,,,,true,,false,2,2
2213,15,,,,,,true,,false,2,2
2216,15,,,,,,true,,false,2,2
2219,14,,,,,,true,,false,3,
2222,14,,,,,,true,,false,3,
2225,15,,,,,,true,,false,2,2
2228,14,,,,,,true,,false,3,
2231,14,,,,,,true,,false,3,
2234,14,,,,,,true,,false,3,
2237,15,,,,,,true,,false,2,2
2294,3,1,,,"1,11,20","4,6,8",true,,false,,
2297,3,1,,,"1,11,20","4,6,8",true,,false,,
2300,3,1,,,"1,11,20","2,3,4",true,,false,,
2303,3,1,,,"1,11,20","-2,-2,-2",true,,false,,
2306,2,4,4,,,,true,,false,,
2309,2,3,,,,,true,,false,,
2312,2,3,,,,,true,,false,,
2315,2,3,,,,,true,,false,,
2441,2,3,,,,,true,,false,,
2444,11,1,,4,,,true,,false,,
2447,1,1,,,,,true,,false,,
2450,2,6,8,,,,true,,false,,
2453,2,6,8,,,,true,,false,,
2456,2,6,8,,,,true,,false,,
2459,2,3,,,,,true,,false,,
2462,2,3,,,,,true,,false,,
