id,featureId,type,appliesToId,minValue
579,18,0,32,3
582,12,0,32,3
585,30,0,32,3
588,27,0,32,6
591,48,0,32,9
594,33,0,32,12
597,42,0,32,15
600,36,0,32,18
603,39,0,32,21
615,1446,1,6,10
635,1520,1,4,13
638,1526,7,,5
641,1529,7,,9
644,1532,7,,12
647,1535,7,,5
650,1538,7,,3
653,1544,1,2,13
656,1556,1,2,13
659,1571,4,,1
662,1577,8,72,0
665,1580,6,216,0
668,1583,7,,12
671,1586,1,1,13
674,1586,6,30,0
677,1586,4,,4
680,1592,6,267,0
683,1595,6,273,0
686,1598,1,2,19
689,1598,4,,11
692,1598,6,165,0
695,1598,6,306,0
698,1601,10,,0
701,1601,3,21,8
704,1601,6,312,0
707,1604,10,,0
710,1604,6,117,0
713,1604,6,312,0
716,1604,6,315,0
719,1604,3,5,12
722,1610,1,1,13
725,1610,6,219,0
728,1616,4,,8
731,1616,10,,0
734,1619,1,4,13
737,1619,6,36,0
740,1622,1,4,13
743,1622,6,36,0
746,1625,1,2,13
749,1625,6,168,0
752,1631,1,1,13
755,1631,6,219,0
758,1634,1,2,19
761,1634,4,,11
764,1634,6,216,0
767,1634,6,222,0
770,1637,6,249,0
773,1640,1,1,13
776,1640,6,219,0
779,1643,1,4,13
782,1643,6,36,0
785,1646,8,72,0
788,1649,1,2,17
791,1649,4,,6
794,1649,6,306,0
797,1661,3,-1,6
800,1670,1,2,17
803,1670,4,,6
806,1670,6,216,0
809,1670,6,234,0
812,1679,1,2,13
815,1679,6,72,0
818,1682,0,34,1
821,1682,6,201,0
824,1685,0,34,1
827,1688,1,5,13
830,1688,8,,0
833,1703,1,1,13
836,1706,6,216,0
839,1709,4,,1
842,1715,10,,0
845,1718,1,2,13
848,1718,6,216,0
851,1721,0,34,1
854,1721,6,201,0
857,1727,7,,1
860,1736,1,2,13
863,1736,6,72,0
866,1736,6,195,0
869,1736,6,216,0
872,1736,4,,4
875,1748,1,2,15
878,1748,6,60,0
881,1748,6,168,0
884,1754,3,11,1
887,1760,0,34,1
890,1760,6,201,0
893,1760,6,237,0
896,1763,1,2,13
899,1763,6,72,0
902,1763,6,195,0
905,1763,4,,4
908,1772,1,2,13
911,1772,1,5,13
914,1772,6,168,0
917,1772,4,,8
920,1778,6,249,0
923,1784,0,34,1
926,1784,6,201,0
929,1787,1,2,15
932,1787,6,306,0
938,1793,4,,1
947,1799,10,,0
950,1799,6,312,0
953,1799,3,5,4
956,1802,1,2,13
959,1802,1,4,13
962,1802,6,36,0
965,1802,6,72,0
968,1802,6,195,0
971,1802,6,279,0
974,1802,4,,4
977,1811,1,1,25
980,1811,6,219,0
983,1811,6,126,0
986,1811,9,6,1
989,1499,6,9,0
992,1499,6,12,0
995,1496,6,9,0
998,1505,6,267,0
1001,1511,7,,3
1004,1514,1,1,13
1007,1847,1,4,13
1010,1847,3,27,1
1013,1790,1,2,15
1016,1796,4,5,1
1019,1796,10,,0
