id,sourceType,level,featureId,domainId,featId,companionId,editionId
11649,1,2,1419,,,,
11652,1,6,1419,,,,
11655,1,11,1419,,,,
11658,1,2,1422,,,,
11661,1,6,1422,,,,
11664,1,11,1422,,,,
17730,1,1,1,,,,
17733,1,1,2,,,,
17868,1,17,105,,,,
17871,1,2,117,,,,
17874,1,9,132,,,,
17877,1,12,144,,,,
17880,1,1,147,,,,
17883,1,1,150,,,,
17886,1,1,153,,,,
17889,1,11,156,,,,
17892,1,13,159,,,,
17895,1,18,162,,,,
17898,1,1,165,,,,
17901,1,3,168,,,,
17904,1,1,171,,,,
17907,1,4,174,,,,
17910,1,20,177,,,,
17913,1,5,180,,,,
17916,1,15,183,,,,
17919,1,4,186,,,,
17922,1,3,189,,,,
17925,1,17,192,,,,
17928,1,1,195,,,,
17931,1,7,198,,,,
17934,1,5,147,,,,
17937,1,2,153,,,,
17940,1,6,153,,,,
17943,1,1,1,,,,
17946,1,1,2,,,,
18042,1,2,117,,,,
18045,1,8,135,,,,
18048,1,1,279,,,,
18051,1,10,282,,,,
18054,1,1,285,,,,
18057,1,3,297,,,,
18060,1,4,300,,,,
18063,1,1,1,,,,
18066,1,1,2,,,,
18435,0,1,5,,,,
18438,0,1,3,,,,
18441,0,1,4,,,,
18447,0,1,366,,,,
18450,0,1,369,,,,
18453,0,1,372,,,,
18456,0,1,375,,,,
18459,0,1,378,,,,
18462,0,1,384,,,,
18468,0,1,5,,,,
18471,0,1,3,,,,
18474,0,1,4,,,,
18477,0,1,381,,,,
18480,0,1,1446,,,,
18483,0,1,363,,,,
18486,0,1,387,,,,
18489,0,1,390,,,,
18495,0,1,3,,,,
18498,0,1,4,,,,
18504,0,1,414,,,,
18507,0,1,5,,,,
18510,0,1,3,,,,
18513,0,1,4,,,,
18516,0,1,393,,,,
18519,0,1,396,,,,
18522,0,1,399,,,,
18525,0,1,402,,,,
18528,0,1,405,,,,
18531,0,1,5,,,,
18534,0,1,3,,,,
18537,0,1,4,,,,
18660,0,1,5,,,,
18663,0,1,3,,,,
18666,0,1,4,,,,
18672,0,1,1449,,,,
18675,0,1,1452,,,,
18678,0,1,1455,,,,
18747,0,1,5,,,,
18750,0,1,3,,,,
18753,0,1,4,,,,
18759,0,1,1458,,,,
18762,0,1,1461,,,,
18798,4,1,1470,3,,,
18849,4,1,1476,30,,,
18852,4,1,1479,30,,,
18855,4,1,1464,,,,
18858,4,1,1473,,,,
18927,0,1,3,,,,
18930,0,1,4,,,,
18941,0,1,333,,,,
18944,0,1,336,,,,
18947,1,1,123,,,,
18950,0,1,330,,,,
18953,0,1,408,,,,
18956,0,1,408,,,,
18959,0,1,408,,,,
18962,0,1,408,,,,
18965,0,1,420,,,,
18968,0,1,360,,,,
19013,0,1,339,,,,
19016,0,1,339,,,,
19028,0,1,351,,,,
19274,1,1,288,,,,
19277,1,1,1,,,,
19280,1,1,2,,,,
19283,1,1,291,,,,
19286,1,1,7,,,,
19289,1,1,54,,,,
19292,1,1,60,,,,
19295,1,1,63,,,,
19298,1,1,69,,,,
19301,1,1,1,,,,
19304,1,1,2,,,,
19307,1,1,72,,,,
19310,1,1,57,,,,
19313,1,1,66,,,,
