progressionId,raceId
18435,3
18438,3
18441,3
18447,4
18450,4
18453,4
18456,4
18459,4
18462,4
18468,4
18471,4
18474,4
18477,4
18480,4
18483,5
18486,5
18489,5
18495,5
18498,5
18504,6
18507,6
18510,6
18513,6
18516,7
18519,7
18522,7
18525,7
18528,7
18531,7
18534,7
18537,7
18660,9
18663,9
18666,9
18672,9
18675,9
18678,9
18747,12
18750,12
18753,12
18759,12
18762,12
18927,1
18930,1
18941,1
18944,1
18950,3
18953,3
18956,4
18959,5
18962,12
18965,3
18968,3
19013,6
19016,9
19028,4
21362,12
21365,2
21368,3
21371,4
21374,1
21374,5
21377,6
21380,7
21383,9
21386,2
21389,2
21392,2
21395,2
21398,2
21401,2
21404,2
21407,2
21410,2
21413,2
21416,2
21419,2
21422,2
21425,2
22781,3
22784,4
22787,5
22790,6
22793,7
22796,9
22799,12
22802,1
22805,2
22808,3
22811,4
22814,5
22817,6
22820,7
22823,9
22826,12
22829,1
22832,2
22835,3
22838,4
22841,6
22844,7
22847,9
22850,12
22853,2
